CD3only_CD8_V7_1	CD3only_CD8_V7_2	CD3only_CD8_V7_3	CD3only_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
OR4F5	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0
NOC2L	9.0789588134624	9.22619626740861	9.29148499003484	7.28171313436509	8.96594614668413	9.06693639097231	8.64685446317826	7.87736080963491
KLHL17	3.12136128279036	2.97958164841976	2.84608936894954	2.66433404380725	2.63734812051385	2.78593581542869	2.65362639345469	2.67607238908942
PLEKHN1	1.30714050379558	1.30652826642555	1.30590350285682	1.30583076650475	1.4385315333581	1.63917287004854	1.3212995412936	1.30524346424955
PERM1	2.38871760762373	2.32314583719621	2.54023730885323	2.3220335415601	2.56818796555362	2.48096396332851	2.50302988315613	2.32109920633911
HES4	0	0	0	0	0	0	0	0
ISG15	9.08406547342106	9.25981794780868	8.937000403881	6.08001594901224	9.19916563596557	9.41987483679353	9.24069820934284	7.02555130536573
AGRN	1.33985815243159	1.69923566775633	1.33852484693323	1.33844639707332	1.33770259479618	1.46905636562206	1.35428760174901	1.33781275406069
RNF223	0	0	0	0	0	0	0	0
C1orf159	6.54979944143991	6.47999965994684	4.83298553261888	4.48635892535847	5.37866920045777	5.03017736254922	6.08332098469949	4.38191760687175
TTLL10	-2.13456635985931	-2.1438263616169	-2.14477876448482	-2.14490340294035	-2.14629071722361	-2.14590383996813	-2.14672620644584	-2.14605674255578
TNFRSF18	4.35153849153173	4.43586293791879	3.71232711702173	3.58178500931893	3.49825956242289	3.43139784167045	3.49087057149382	3.73719849004227
TNFRSF4	5.42449840339575	5.43559239116725	3.75895736653113	3.71215840958991	4.29902305787248	3.70262049244011	4.47684487128084	3.70131905834661
SDF4	5.70402794350887	5.47918814526624	5.62953968089584	5.47385609624193	5.2790089506183	5.0680932296016	5.08283409230975	5.0287644809526
B3GALT6	5.93302490751883	5.80803111768466	5.88048528037122	5.50630528646008	5.12749820952986	5.50998091003434	5.66120203459977	5.94435891193418
C1QTNF12	-1.40846209569837	-1.39473165163839	-1.41154654007578	-1.41176868650415	-1.39929126194521	-1.39843439645966	-1.41416669153103	-1.41382431432124
UBE2J2	7.14422493177745	6.89256326511278	7.40950307652597	5.98351714191241	6.64034221364928	6.69064867981727	6.62886307776035	5.99906258703118
SCNN1D	-0.337706559420678	-0.310725938654317	-0.294742463538224	-0.338021465805856	-0.307308004936069	-0.33814531708904	-0.338228401537436	-0.30561639010338
ACAP3	3.04426450552856	2.88281478721416	2.74102736673977	2.74084323841242	3.00502645996511	3.03926042194237	2.94714656318339	2.79323253553864
PUSL1	4.96997306221287	5.45511385997574	4.86953874015229	4.47384844923765	5.23452856535435	5.1091919791497	5.49289837129236	4.60501706567656
INTS11	9.23049538299558	9.80221958491337	9.60027066834846	7.05638825223268	9.52904040743952	9.57475658043481	9.41022422583083	8.5018900580969
CPTP	3.57920274455296	3.48911671685789	3.44129115507503	3.43943130655647	4.01646624330238	3.75240528678609	4.17993061721747	3.50256240966109
TAS1R3	0.911844693672199	1.06248325887769	0.911124212395023	0.911081979293798	1.08036839704342	0.910781809869564	0.910580380665887	0.910741508334073
DVL1	3.7647832977982	3.73446843509833	3.50059291798763	3.28078186118344	3.35073522307592	3.24872513881803	3.6251433760564	3.26710620298875
MXRA8	1.13892133908727	0.935124084361943	0.934748321127292	0.934704642828569	0.934291388928529	1.01752159924994	0.976614990388718	0.93435249364394
AURKAIP1	9.46246899259669	9.65013101933108	8.13657834627487	7.76608946030263	9.35825937606729	9.16652156398259	9.61773828608945	7.27906998126887
CCNL2	9.81406386789424	10.2376148878808	9.74532768953663	8.16896705628158	9.24180383503258	9.45911908002486	9.66560247692917	9.11386835346238
MRPL20	10.7579824000039	10.7426765558324	10.7595230138305	10.2882384826214	10.3610500665564	10.4143508724772	10.4298184495129	10.4297205810067
ANKRD65	-1.78344914664321	-1.78424258838262	-1.7852136834581	-1.78534076811361	-1.78675531033517	-1.76906423967562	-1.7871993466284	-1.78651674359481
TMEM88B	0	0	0	0	0	0	0	0
VWA1	-2.14321103054298	-2.13677967734274	-2.14465578725522	-2.14475984085587	-2.14591803112547	-2.14559504917522	-2.14628159645871	-2.14572269890199
ATAD3C	3.5038405531817	3.30479506047295	3.96772720930106	4.15645998559261	3.35965566199941	3.69822076293902	3.29593421783989	3.42419757292788
ATAD3B	7.05692947321651	7.18061520500896	6.82294118740861	5.22707995178521	6.04848121837496	6.49478463952395	6.37262319334489	5.15412371965366
ATAD3A	6.44042806055579	6.14584255518603	6.45603916401019	4.90147604575989	5.62079983310194	5.39053661307859	5.84309988260962	4.87173854551306
TMEM240	0	0	0	0	0	0	0	0
SSU72	10.3914601400291	10.1956886141304	10.4774317170555	9.76578840472718	10.273364690168	10.3352032003027	10.3846091841346	9.99685499693254
