CD3only_CD8_V7_1	CD3only_CD8_V7_2	CD3only_CD8_V7_3	CD3only_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
OR4F5	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0
NOC2L	617.651930713747	714.994049471065	762.273409329853	76.8902253779902	550.677201780396	609.753469378872	396.214752203644	167.934393460432
KLHL17	26.9925008281072	17.1810030371975	9.50202310798985	1.02520300503987	0	6.47812450867327	0.667028202363038	1.56218040428309
PLEKHN1	0	0	0	0	5.91331223388345	17.0050768352673	0.667028202363038	0
PERM1	3.17558833271849	0	11.6135837986543	0	13.3049525262378	8.09765563584159	9.33839483308253	0
HES4	0	0	0	0	0	0	0	0
ISG15	646.232225708214	766.537058582658	558.507802680737	7.17642103527909	722.163256563016	893.171416633328	751.740784063143	61.7061259691819
AGRN	0	18.5026186554435	0	0	0	5.66835894508911	0.667028202363038	0
RNF223	0	0	0	0	0	0	0	0
C1orf159	195.298682462187	179.739724081451	12.6693641439865	2.05040601007974	40.6540216079487	21.0539046531881	110.726681592264	0
TTLL10	1.58779416635925	0	0	0	0	0	0	0
TNFRSF18	53.9850016562144	62.1159340575602	10.5578034533221	5.12601502519935	2.21749208770629	0	2.00108460708911	11.7163530321232
TNFRSF4	119.084562476944	120.267021260382	1.05578034533221	0	19.2182647601212	0	28.0151844992476	0
SDF4	77.8019141516031	52.8646247298385	68.6257224465934	52.2853532570334	35.4798734033007	21.0539046531881	22.0119306779802	18.746164851397
B3GALT6	79.3897083179624	64.7591652940521	72.8488438279222	36.9073081814353	13.3049525262378	37.2492159248713	50.0271151772278	80.452290820579
C1QTNF12	0	1.32161561824596	0	0	0.739164029235431	0.809765563584159	0	0
UBE2J2	185.771917464032	136.126408679334	252.331502534397	33.8316991663157	97.5696518590769	104.459757702357	96.0520611402774	35.1490590963695
SCNN1D	0	1.32161561824596	2.11156069066441	0	1.47832805847086	0	0	1.56218040428309
ACAP3	15.8779416635925	6.60807809122981	0	0	13.3049525262378	15.385545708099	10.0054230354456	2.34327060642463
PUSL1	28.5802949944665	72.6888590035279	22.1713872519763	3.07560901511961	49.5239899587739	38.8687470520396	76.7082432717493	8.59199222355698
INTS11	628.766489878262	1100.90580999889	905.859536295033	42.0333232066347	844.864485416098	883.454229870318	751.740784063143	292.908825803079
CPTP	7.93897083179624	3.96484685473788	2.11156069066441	2.05040601007974	34.7407093740653	17.0050768352673	48.6930587725018	4.68654121284926
TAS1R3	0	7.92969370947577	0	0	8.86996835082517	0	0	0
DVL1	30.1680891608257	27.7539279831652	12.6693641439865	2.05040601007974	5.17414820464802	0.809765563584159	20.0108460708911	1.56218040428309
MXRA8	11.1145591645147	0	0	0	0	4.0488278179208	2.00108460708911	0
AURKAIP1	862.172232333071	1032.1817978501	217.490751138434	140.452811690462	778.339722784909	644.573388612991	999.875275342194	74.2035692034466
CCNL2	1009.83708980448	1515.89311412812	943.867628726992	171.208901841658	569.156302511282	710.164399263308	872.472888690853	498.335548966305
MRPL20	1851.36799797488	1823.82955317943	1853.95028640335	1163.60541072025	1252.88302955406	1321.53739976935	1342.06074315443	1341.91296727917
ANKRD65	0	0	0	0	0	1.61953112716832	0	0
TMEM88B	0	0	0	0	0	0	0	0
VWA1	0	1.32161561824596	0	0	0	0	0	0
ATAD3C	7.93897083179624	0	35.896531741295	52.2853532570334	2.21749208770629	17.8148423988515	0	4.68654121284926
ATAD3B	204.825447460343	235.247580047781	155.199710763834	8.20162404031896	54.6981381634219	102.840226575188	87.3806945095579	6.24872161713235
ATAD3A	147.66485747141	100.442786986693	149.920809037173	6.15121803023922	45.0890057833613	29.1515602890297	64.7017356292147	5.4676314149908
TMEM240	0	0	0	0	0	0	0	0
SSU72	1408.37342556065	1161.7001284382	1530.8815007317	751.473802694225	1254.36135761253	1332.87411765953	1398.75814035529	952.148956410542
FNDC10	0	13.2161561824596	12.6693641439865	0	6.65247626311888	9.71718676300991	2.66811280945215	0
MIB2	9.52676499815548	7.92969370947577	3.16734103599662	0	3.69582014617716	9.71718676300991	24.6800434874324	0
MMP23B	0	0	0	0	0	0	0	0
CDK11B	349.314716599034	282.825742304636	399.084970535574	101.495097498947	392.496099524014	438.892935462614	334.181129383882	73.4224790013051
SLC35E2B	98.4432383142733	211.458498919354	129.860982475861	136.351999670303	333.362977185179	289.086306199545	285.48807061138	153.093679619743
CDK11A	6.35117666543699	7.92969370947577	4.22312138132882	10.2520300503987	9.6091323800606	6.47812450867327	6.00325382126734	13.2785334364062
NADK	114.321179977866	91.1914776589713	121.414739713204	32.8064961612758	117.527080648434	48.5859338150496	94.7180047355513	45.3032317242095
GNB1	1730.69564133158	2381.55134407922	1964.80722266324	2389.74820474794	1765.86286584344	1518.3104317203	1678.2429571454	2340.14624561606
CALML6	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0
